{'loss': 8.3281, 'grad_norm': 614.6730346679688, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 6272}
{'loss': 8.7863, 'grad_norm': 510.75616455078125, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 13056, 'step': 2, 'step_time_sec': 0.83, 'avg_step_time_sec': 0.83, 'time_to_completion_sec': 14.88, 'estimated_total_time_sec': 16.54, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 40976.0, 'total_peak_memory_allocated_MB': 34547.57, 'total_peak_memory_reserved_MB': 40976.0, 'step_tokens_per_second': 8205.51, 'avg_tokens_per_second': 8205.51}
{'loss': 4.121, 'grad_norm': 203.7260284423828, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.0, 'num_input_tokens_seen': 19840, 'step': 3, 'step_time_sec': 0.63, 'avg_step_time_sec': 0.73, 'time_to_completion_sec': 12.36, 'estimated_total_time_sec': 14.54, 'step_peak_memory_allocated_MB': 34547.58, 'step_peak_memory_reserved_MB': 40976.0, 'total_peak_memory_allocated_MB': 34547.58, 'total_peak_memory_reserved_MB': 40976.0, 'step_tokens_per_second': 10817.84, 'avg_tokens_per_second': 9332.31}
{'loss': 2.081, 'grad_norm': 154.50485229492188, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.0, 'num_input_tokens_seen': 27776, 'step': 4, 'step_time_sec': 0.74, 'avg_step_time_sec': 0.73, 'time_to_completion_sec': 11.72, 'estimated_total_time_sec': 14.65, 'step_peak_memory_allocated_MB': 34547.59, 'step_peak_memory_reserved_MB': 41226.0, 'total_peak_memory_allocated_MB': 34547.59, 'total_peak_memory_reserved_MB': 41226.0, 'step_tokens_per_second': 10661.5, 'avg_tokens_per_second': 9782.4}
{'loss': 1.8288, 'grad_norm': 98.59574890136719, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.0, 'num_input_tokens_seen': 35712, 'step': 5, 'step_time_sec': 0.95, 'avg_step_time_sec': 0.79, 'time_to_completion_sec': 11.81, 'estimated_total_time_sec': 15.75, 'step_peak_memory_allocated_MB': 34547.61, 'step_peak_memory_reserved_MB': 41226.0, 'total_peak_memory_allocated_MB': 34547.61, 'total_peak_memory_reserved_MB': 41226.0, 'step_tokens_per_second': 8342.54, 'avg_tokens_per_second': 9347.51}
{'loss': 1.3416, 'grad_norm': 46.406639099121094, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.0, 'num_input_tokens_seen': 41856, 'step': 6, 'step_time_sec': 0.57, 'avg_step_time_sec': 0.74, 'time_to_completion_sec': 10.42, 'estimated_total_time_sec': 14.88, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41226.0, 'total_peak_memory_allocated_MB': 34547.61, 'total_peak_memory_reserved_MB': 41226.0, 'step_tokens_per_second': 10758.83, 'avg_tokens_per_second': 9564.13}
{'loss': 1.2228, 'grad_norm': 36.255836486816406, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.0, 'num_input_tokens_seen': 49536, 'step': 7, 'step_time_sec': 0.82, 'avg_step_time_sec': 0.76, 'time_to_completion_sec': 9.84, 'estimated_total_time_sec': 15.15, 'step_peak_memory_allocated_MB': 34547.58, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.61, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 9330.48, 'avg_tokens_per_second': 9521.8}
{'loss': 1.2124, 'grad_norm': 39.634361267089844, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 55936, 'step': 8, 'step_time_sec': 0.61, 'avg_step_time_sec': 0.74, 'time_to_completion_sec': 8.83, 'estimated_total_time_sec': 14.72, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.61, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 10537.96, 'avg_tokens_per_second': 9641.61}
{'loss': 1.189, 'grad_norm': 19.777420043945312, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.01, 'num_input_tokens_seen': 64896, 'step': 9, 'step_time_sec': 1.13, 'avg_step_time_sec': 0.78, 'time_to_completion_sec': 8.63, 'estimated_total_time_sec': 15.69, 'step_peak_memory_allocated_MB': 34547.63, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.63, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 7957.75, 'avg_tokens_per_second': 9339.57}
{'loss': 1.0405, 'grad_norm': 17.48965072631836, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 72320, 'step': 10, 'step_time_sec': 0.72, 'avg_step_time_sec': 0.78, 'time_to_completion_sec': 7.77, 'estimated_total_time_sec': 15.54, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.63, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 10337.3, 'avg_tokens_per_second': 9442.0}
{'loss': 1.0325, 'grad_norm': 12.938915252685547, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 79360, 'step': 11, 'step_time_sec': 0.7, 'avg_step_time_sec': 0.77, 'time_to_completion_sec': 6.93, 'estimated_total_time_sec': 15.39, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.63, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 10046.26, 'avg_tokens_per_second': 9497.02}
{'loss': 0.9984, 'grad_norm': 13.112726211547852, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.01, 'num_input_tokens_seen': 87424, 'step': 12, 'step_time_sec': 0.85, 'avg_step_time_sec': 0.78, 'time_to_completion_sec': 6.21, 'estimated_total_time_sec': 15.53, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.63, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 9520.03, 'avg_tokens_per_second': 9499.3}
{'loss': 0.8283, 'grad_norm': 11.341835021972656, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.01, 'num_input_tokens_seen': 95744, 'step': 13, 'step_time_sec': 1.13, 'avg_step_time_sec': 0.81, 'time_to_completion_sec': 5.64, 'estimated_total_time_sec': 16.13, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.63, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 7335.76, 'avg_tokens_per_second': 9245.73}
{'loss': 1.0081, 'grad_norm': 13.052566528320312, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.01, 'num_input_tokens_seen': 102656, 'step': 14, 'step_time_sec': 0.66, 'avg_step_time_sec': 0.8, 'time_to_completion_sec': 4.77, 'estimated_total_time_sec': 15.9, 'step_peak_memory_allocated_MB': 34547.58, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.63, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 10504.49, 'avg_tokens_per_second': 9325.87}
{'loss': 0.9503, 'grad_norm': 13.170111656188965, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.01, 'num_input_tokens_seen': 109824, 'step': 15, 'step_time_sec': 0.75, 'avg_step_time_sec': 0.79, 'time_to_completion_sec': 3.96, 'estimated_total_time_sec': 15.83, 'step_peak_memory_allocated_MB': 34547.59, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.63, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 9596.21, 'avg_tokens_per_second': 9344.1}
{'loss': 0.9153, 'grad_norm': 11.913898468017578, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.01, 'num_input_tokens_seen': 115840, 'step': 16, 'step_time_sec': 0.63, 'avg_step_time_sec': 0.78, 'time_to_completion_sec': 3.12, 'estimated_total_time_sec': 15.62, 'step_peak_memory_allocated_MB': 34547.58, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.63, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 9549.98, 'avg_tokens_per_second': 9355.17}
{'loss': 0.911, 'grad_norm': 12.744794845581055, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.01, 'num_input_tokens_seen': 122496, 'step': 17, 'step_time_sec': 0.72, 'avg_step_time_sec': 0.78, 'time_to_completion_sec': 2.33, 'estimated_total_time_sec': 15.54, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.63, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 9238.37, 'avg_tokens_per_second': 9348.4}
{'loss': 0.9031, 'grad_norm': 11.140426635742188, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.01, 'num_input_tokens_seen': 129920, 'step': 18, 'step_time_sec': 0.87, 'avg_step_time_sec': 0.78, 'time_to_completion_sec': 1.57, 'estimated_total_time_sec': 15.65, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41438.0, 'total_peak_memory_allocated_MB': 34547.63, 'total_peak_memory_reserved_MB': 41438.0, 'step_tokens_per_second': 8523.15, 'avg_tokens_per_second': 9294.37}
