{'loss': 8.37, 'grad_norm': 587.1949462890625, 'learning_rate': 3e-06, 'epoch': 0.02, 'num_input_tokens_seen': 285696}
{'loss': 8.3157, 'grad_norm': 580.8121337890625, 'learning_rate': 6e-06, 'epoch': 0.03, 'num_input_tokens_seen': 651264, 'step': 2, 'step_time_sec': 24.31, 'avg_step_time_sec': 24.31, 'time_to_completion_sec': 437.58, 'estimated_total_time_sec': 486.2, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 78706.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78706.0, 'step_tokens_per_second': 15037.71, 'avg_tokens_per_second': 15037.71}
{'loss': 4.0977, 'grad_norm': 201.28970336914062, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.05, 'num_input_tokens_seen': 967680, 'step': 3, 'step_time_sec': 23.54, 'avg_step_time_sec': 23.92, 'time_to_completion_sec': 406.69, 'estimated_total_time_sec': 478.46, 'step_peak_memory_allocated_MB': 50024.84, 'step_peak_memory_reserved_MB': 69742.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78706.0, 'step_tokens_per_second': 13443.75, 'avg_tokens_per_second': 14253.62}
{'loss': 1.9678, 'grad_norm': 88.36962127685547, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1317888, 'step': 4, 'step_time_sec': 24.81, 'avg_step_time_sec': 24.22, 'time_to_completion_sec': 387.52, 'estimated_total_time_sec': 484.4, 'step_peak_memory_allocated_MB': 61519.78, 'step_peak_memory_reserved_MB': 78708.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78708.0, 'step_tokens_per_second': 14113.45, 'avg_tokens_per_second': 14205.75}
{'loss': 1.6156, 'grad_norm': 41.72123718261719, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1674240, 'step': 5, 'step_time_sec': 25.0, 'avg_step_time_sec': 24.41, 'time_to_completion_sec': 366.21, 'estimated_total_time_sec': 488.28, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 78664.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78708.0, 'step_tokens_per_second': 14256.5, 'avg_tokens_per_second': 14218.74}
{'loss': 1.2061, 'grad_norm': 26.49713134765625, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.1, 'num_input_tokens_seen': 2052096, 'step': 6, 'step_time_sec': 23.96, 'avg_step_time_sec': 24.32, 'time_to_completion_sec': 340.53, 'estimated_total_time_sec': 486.47, 'step_peak_memory_allocated_MB': 61519.78, 'step_peak_memory_reserved_MB': 78580.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78708.0, 'step_tokens_per_second': 15769.5, 'avg_tokens_per_second': 14524.27}
{'loss': 1.0856, 'grad_norm': 103.4547119140625, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.11, 'num_input_tokens_seen': 2377728, 'step': 7, 'step_time_sec': 23.41, 'avg_step_time_sec': 24.17, 'time_to_completion_sec': 314.22, 'estimated_total_time_sec': 483.41, 'step_peak_memory_allocated_MB': 55132.21, 'step_peak_memory_reserved_MB': 73606.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78708.0, 'step_tokens_per_second': 13912.75, 'avg_tokens_per_second': 14425.58}
{'loss': 1.141, 'grad_norm': 18.924030303955078, 'learning_rate': 4.5e-06, 'epoch': 0.13, 'num_input_tokens_seen': 2724864, 'step': 8, 'step_time_sec': 23.11, 'avg_step_time_sec': 24.02, 'time_to_completion_sec': 288.23, 'estimated_total_time_sec': 480.39, 'step_peak_memory_allocated_MB': 58963.96, 'step_peak_memory_reserved_MB': 75958.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78708.0, 'step_tokens_per_second': 15018.93, 'avg_tokens_per_second': 14507.15}
{'loss': 1.1898, 'grad_norm': 55.85020065307617, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.15, 'num_input_tokens_seen': 3050496, 'step': 9, 'step_time_sec': 23.56, 'avg_step_time_sec': 23.96, 'time_to_completion_sec': 263.59, 'estimated_total_time_sec': 479.25, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 78666.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78708.0, 'step_tokens_per_second': 13819.49, 'avg_tokens_per_second': 14422.62}
{'loss': 1.0469, 'grad_norm': 20.753164291381836, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.16, 'num_input_tokens_seen': 3394560, 'step': 10, 'step_time_sec': 23.57, 'avg_step_time_sec': 23.92, 'time_to_completion_sec': 239.19, 'estimated_total_time_sec': 478.37, 'step_peak_memory_allocated_MB': 52579.03, 'step_peak_memory_reserved_MB': 67570.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78708.0, 'step_tokens_per_second': 14598.55, 'avg_tokens_per_second': 14441.88}
{'loss': 1.0209, 'grad_norm': 9.238483428955078, 'learning_rate': 3e-06, 'epoch': 0.18, 'num_input_tokens_seen': 3704832, 'step': 11, 'step_time_sec': 20.2, 'avg_step_time_sec': 23.55, 'time_to_completion_sec': 211.92, 'estimated_total_time_sec': 470.94, 'step_peak_memory_allocated_MB': 50024.84, 'step_peak_memory_reserved_MB': 67570.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78708.0, 'step_tokens_per_second': 15357.03, 'avg_tokens_per_second': 14520.4}
{'loss': 1.0006, 'grad_norm': 9.326858520507812, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.2, 'num_input_tokens_seen': 4030464, 'step': 12, 'step_time_sec': 23.74, 'avg_step_time_sec': 23.56, 'time_to_completion_sec': 188.52, 'estimated_total_time_sec': 471.3, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 78636.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 78708.0, 'step_tokens_per_second': 13714.71, 'avg_tokens_per_second': 14446.6}
