{'loss': 8.4626, 'grad_norm': 560.2669677734375, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 84992}
{'loss': 8.2974, 'grad_norm': 569.6846923828125, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 174080, 'step': 2, 'step_time_sec': 6.28, 'avg_step_time_sec': 6.28, 'time_to_completion_sec': 113.11, 'estimated_total_time_sec': 125.67, 'step_peak_memory_allocated_MB': 34548.44, 'step_peak_memory_reserved_MB': 46744.0, 'total_peak_memory_allocated_MB': 34548.44, 'total_peak_memory_reserved_MB': 46744.0, 'step_tokens_per_second': 14177.79, 'avg_tokens_per_second': 14177.79}
{'loss': 4.0257, 'grad_norm': 199.95263671875, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.02, 'num_input_tokens_seen': 261120, 'step': 3, 'step_time_sec': 7.76, 'avg_step_time_sec': 7.02, 'time_to_completion_sec': 119.39, 'estimated_total_time_sec': 140.45, 'step_peak_memory_allocated_MB': 34548.44, 'step_peak_memory_reserved_MB': 46744.0, 'total_peak_memory_allocated_MB': 34548.44, 'total_peak_memory_reserved_MB': 46744.0, 'step_tokens_per_second': 11213.89, 'avg_tokens_per_second': 12539.87}
{'loss': 2.0648, 'grad_norm': 125.9070053100586, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 352256, 'step': 4, 'step_time_sec': 7.65, 'avg_step_time_sec': 7.23, 'time_to_completion_sec': 115.69, 'estimated_total_time_sec': 144.62, 'step_peak_memory_allocated_MB': 34548.54, 'step_peak_memory_reserved_MB': 49544.0, 'total_peak_memory_allocated_MB': 34548.54, 'total_peak_memory_reserved_MB': 49544.0, 'step_tokens_per_second': 11917.48, 'avg_tokens_per_second': 12320.47}
{'loss': 1.6753, 'grad_norm': 45.481895446777344, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.03, 'num_input_tokens_seen': 439296, 'step': 5, 'step_time_sec': 6.96, 'avg_step_time_sec': 7.16, 'time_to_completion_sec': 107.46, 'estimated_total_time_sec': 143.28, 'step_peak_memory_allocated_MB': 34548.49, 'step_peak_memory_reserved_MB': 49544.0, 'total_peak_memory_allocated_MB': 34548.54, 'total_peak_memory_reserved_MB': 49544.0, 'step_tokens_per_second': 12500.5, 'avg_tokens_per_second': 12364.21}
{'loss': 1.2104, 'grad_norm': 23.928010940551758, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 544768, 'step': 6, 'step_time_sec': 7.84, 'avg_step_time_sec': 7.3, 'time_to_completion_sec': 102.18, 'estimated_total_time_sec': 145.97, 'step_peak_memory_allocated_MB': 34548.58, 'step_peak_memory_reserved_MB': 50776.0, 'total_peak_memory_allocated_MB': 34548.58, 'total_peak_memory_reserved_MB': 50776.0, 'step_tokens_per_second': 13459.61, 'avg_tokens_per_second': 12599.44}
{'loss': 1.0988, 'grad_norm': 14.006775856018066, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.04, 'num_input_tokens_seen': 645120, 'step': 7, 'step_time_sec': 7.71, 'avg_step_time_sec': 7.37, 'time_to_completion_sec': 95.76, 'estimated_total_time_sec': 147.33, 'step_peak_memory_allocated_MB': 34548.56, 'step_peak_memory_reserved_MB': 50776.0, 'total_peak_memory_allocated_MB': 34548.58, 'total_peak_memory_reserved_MB': 50776.0, 'step_tokens_per_second': 13020.76, 'avg_tokens_per_second': 12672.9}
{'loss': 1.0735, 'grad_norm': 13.55749225616455, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 739328, 'step': 8, 'step_time_sec': 7.43, 'avg_step_time_sec': 7.38, 'time_to_completion_sec': 88.5, 'estimated_total_time_sec': 147.51, 'step_peak_memory_allocated_MB': 36014.91, 'step_peak_memory_reserved_MB': 55818.0, 'total_peak_memory_allocated_MB': 36014.91, 'total_peak_memory_reserved_MB': 55818.0, 'step_tokens_per_second': 12681.95, 'avg_tokens_per_second': 12674.21}
{'loss': 1.0264, 'grad_norm': 9.610371589660645, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.05, 'num_input_tokens_seen': 850944, 'step': 9, 'step_time_sec': 7.82, 'avg_step_time_sec': 7.43, 'time_to_completion_sec': 81.74, 'estimated_total_time_sec': 148.62, 'step_peak_memory_allocated_MB': 35589.03, 'step_peak_memory_reserved_MB': 55818.0, 'total_peak_memory_allocated_MB': 36014.91, 'total_peak_memory_reserved_MB': 55818.0, 'step_tokens_per_second': 14275.56, 'avg_tokens_per_second': 12884.82}
{'loss': 0.9971, 'grad_norm': 10.640583038330078, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 934912, 'step': 10, 'step_time_sec': 6.27, 'avg_step_time_sec': 7.3, 'time_to_completion_sec': 73.02, 'estimated_total_time_sec': 146.03, 'step_peak_memory_allocated_MB': 34548.56, 'step_peak_memory_reserved_MB': 55818.0, 'total_peak_memory_allocated_MB': 36014.91, 'total_peak_memory_reserved_MB': 55818.0, 'step_tokens_per_second': 13392.83, 'avg_tokens_per_second': 12933.29}
{'loss': 0.9938, 'grad_norm': 6.0204901695251465, 'learning_rate': 3e-06, 'epoch': 0.06, 'num_input_tokens_seen': 1035264, 'step': 11, 'step_time_sec': 7.43, 'avg_step_time_sec': 7.31, 'time_to_completion_sec': 65.83, 'estimated_total_time_sec': 146.3, 'step_peak_memory_allocated_MB': 36014.91, 'step_peak_memory_reserved_MB': 55818.0, 'total_peak_memory_allocated_MB': 36014.91, 'total_peak_memory_reserved_MB': 55818.0, 'step_tokens_per_second': 13500.47, 'avg_tokens_per_second': 12990.93}
{'loss': 0.9675, 'grad_norm': 5.919543743133545, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1122304, 'step': 12, 'step_time_sec': 7.64, 'avg_step_time_sec': 7.34, 'time_to_completion_sec': 58.76, 'estimated_total_time_sec': 146.9, 'step_peak_memory_allocated_MB': 34548.47, 'step_peak_memory_reserved_MB': 55818.0, 'total_peak_memory_allocated_MB': 36014.91, 'total_peak_memory_reserved_MB': 55818.0, 'step_tokens_per_second': 11387.05, 'avg_tokens_per_second': 12839.18}
